time,Niaye,bassin_arachidien,casamance,senegal_oriental,vallee_fleuve_senegal,zone_sylvo_pastoral
1950-01-01 03:00:00,295.03815,288.97137,289.9726,289.69366,,293.0602
1950-01-01 06:00:00,294.40714,288.5661,286.96732,288.3316,,291.04932
1950-01-01 09:00:00,294.166,290.0501,288.69205,290.85892,,291.379
1950-01-01 12:00:00,295.30676,298.56998,295.94455,298.88492,,299.31238
1950-01-01 15:00:00,297.1005,302.78976,301.1166,302.54587,,302.27066
1950-01-01 18:00:00,297.83847,303.30243,301.28003,302.06387,,302.79785
1950-01-01 21:00:00,296.9149,295.0931,294.6385,295.0827,,298.12076
1950-01-02 00:00:00,295.81638,291.6404,292.48428,292.37952,,294.61288
1950-01-02 03:00:00,294.91943,290.40146,289.68988,290.90347,,292.23376
1950-01-02 06:00:00,294.26837,287.7243,288.706,288.89807,,290.85754
1950-01-02 09:00:00,294.16818,290.2887,289.16873,291.45593,,291.22104
1950-01-02 12:00:00,295.33868,299.27655,297.26907,299.3392,,299.16904
1950-01-02 15:00:00,297.1002,303.6865,302.20163,303.1802,,302.35693
1950-01-02 18:00:00,297.93573,303.89035,302.1908,302.27142,,302.83444
1950-01-02 21:00:00,296.87326,295.42853,294.5068,295.87634,,298.07913
1950-01-03 00:00:00,295.92166,292.8618,291.671,292.24905,,294.56827
1950-01-03 03:00:00,295.208,289.53143,290.72348,291.4312,,292.09827
1950-01-03 06:00:00,294.676,287.82242,288.0649,290.0396,,290.83786
1950-01-03 09:00:00,294.4403,290.51364,289.9234,291.11868,,291.08707
1950-01-03 12:00:00,295.81528,299.80157,297.95358,298.43842,,299.38046
1950-01-03 15:00:00,297.62628,304.0885,302.41406,302.3838,,302.4637
1950-01-03 18:00:00,298.48474,304.07013,302.27164,301.71484,,303.24112
1950-01-03 21:00:00,297.19662,295.4642,295.89554,294.7079,,298.49725
1950-01-04 00:00:00,296.06998,291.85455,292.48557,292.04648,,295.12045
1950-01-04 03:00:00,295.3862,290.37433,291.2678,289.97217,,293.33813
1950-01-04 06:00:00,294.91486,287.7928,289.42352,288.3225,,291.25223
1950-01-04 09:00:00,294.81012,290.57376,290.12152,290.75006,,291.8754
1950-01-04 12:00:00,296.19424,299.64136,297.2299,298.2864,,299.61728
1950-01-04 15:00:00,298.02554,304.05087,301.93262,302.1734,,302.7938
1950-01-04 18:00:00,298.47003,303.9962,301.85913,301.64978,,303.49368
1950-01-04 21:00:00,297.46667,295.45038,294.81912,295.2163,,298.6706
1950-01-05 00:00:00,296.401,292.1998,292.18903,292.60547,,295.13895
1950-01-05 03:00:00,295.63223,289.62753,290.53842,290.85727,,292.66647
1950-01-05 06:00:00,295.07074,287.80463,289.45596,289.3494,,291.32846
1950-01-05 09:00:00,294.93472,290.7647,290.044,290.75192,,291.21463
1950-01-05 12:00:00,296.15088,299.34555,296.93365,297.81403,,299.4424
1950-01-05 15:00:00,297.83075,303.5736,301.53036,301.6893,,302.64822
1950-01-05 18:00:00,298.1395,303.53024,301.35217,301.07965,,302.85635
1950-01-05 21:00:00,297.17197,295.1382,294.6896,294.91803,,298.40417
1950-01-06 00:00:00,296.1751,291.9341,293.41638,292.1043,,294.24216
1950-01-06 03:00:00,295.52267,289.56238,291.56146,290.65363,,292.35663
1950-01-06 06:00:00,295.04514,287.95084,289.41226,288.96295,,291.3857
1950-01-06 09:00:00,295.00787,290.69418,290.1425,289.89444,,291.49338
1950-01-06 12:00:00,296.02917,298.63547,296.4299,296.63315,,298.7909
1950-01-06 15:00:00,297.56943,302.9786,300.65414,300.83087,,301.92184
1950-01-06 18:00:00,298.4332,302.8616,300.4425,300.61588,,302.54916
1950-01-06 21:00:00,297.38058,296.15604,294.41913,294.74478,,296.26846
1950-01-07 00:00:00,296.4206,294.13763,292.91745,292.0083,,292.96738
1950-01-07 03:00:00,295.8418,291.34842,290.15787,290.34235,,290.80533
1950-01-07 06:00:00,295.1198,288.7658,288.22903,288.56323,,289.12082
1950-01-07 09:00:00,294.98828,290.82758,289.6851,290.73923,,292.10934
1950-01-07 12:00:00,296.27924,298.75366,296.42337,297.59656,,300.07358
1950-01-07 15:00:00,298.4071,303.21375,300.85663,301.92386,,303.95935
1950-01-07 18:00:00,299.07687,303.2896,300.98633,301.4347,,303.29263
1950-01-07 21:00:00,297.42352,295.3911,295.4155,294.96753,,297.03766
1950-01-08 00:00:00,296.14877,291.94293,293.26028,292.047,,293.304
1950-01-08 03:00:00,295.43866,289.84064,291.02914,290.74988,,291.12582
1950-01-08 06:00:00,294.9899,288.80878,288.57614,287.95114,,289.15732
1950-01-08 09:00:00,294.97253,291.1437,289.59024,290.91327,,292.00684
1950-01-08 12:00:00,296.53928,300.332,297.9727,298.50092,,300.8942
1950-01-08 15:00:00,298.9034,304.8184,302.73093,302.89758,,304.42557
1950-01-08 18:00:00,299.3153,304.45193,302.72614,302.0387,,303.57803
1950-01-08 21:00:00,297.49228,296.1443,295.07855,294.91083,,297.3981
1950-01-09 00:00:00,296.07013,293.35065,292.04993,291.83386,,293.08957
1950-01-09 03:00:00,295.2274,291.03375,289.81485,289.62665,,291.01746
1950-01-09 06:00:00,294.82166,289.1853,287.96695,287.83435,,289.09985
1950-01-09 09:00:00,294.83273,290.72507,289.7007,290.9339,,291.4203
1950-01-09 12:00:00,296.45062,300.3778,298.14893,299.02817,,300.44418
1950-01-09 15:00:00,298.8198,304.70276,302.8881,303.19504,,304.03513
1950-01-09 18:00:00,299.46408,304.26056,302.65598,302.0984,,303.45407
1950-01-09 21:00:00,297.48843,295.20987,296.19833,294.73813,,297.74127
1950-01-10 00:00:00,296.18176,291.71298,293.25955,291.96997,,294.4152
1950-01-10 03:00:00,295.36334,289.51926,290.83633,289.9483,,292.25125
1950-01-10 06:00:00,294.74072,287.75134,288.91437,288.18713,,290.55716
1950-01-10 09:00:00,294.73746,291.13095,289.459,291.02686,,291.63718
1950-01-10 12:00:00,296.63388,300.03943,297.81827,299.45218,,300.3459
1950-01-10 15:00:00,299.12573,304.74695,303.0069,303.29926,,304.16663
1950-01-10 18:00:00,299.6545,304.15247,302.5674,302.13776,,303.57104
1950-01-10 21:00:00,297.5701,296.29636,295.07846,295.01862,,296.1169
1950-01-11 00:00:00,295.92712,293.48654,291.60812,291.93347,,292.47446
1950-01-11 03:00:00,295.25623,291.04123,289.3852,289.79205,,290.31686
1950-01-11 06:00:00,294.81308,289.1971,287.4405,287.9453,,288.60672
1950-01-11 09:00:00,295.06015,290.97836,289.7148,290.6897,,291.7928
1950-01-11 12:00:00,296.72382,300.6393,298.26266,298.95984,,300.13766
1950-01-11 15:00:00,299.1593,304.75958,303.0414,303.20526,,303.97275
1950-01-11 18:00:00,299.72195,304.25543,302.70166,302.16708,,303.4975
1950-01-11 21:00:00,297.3992,295.1039,296.4756,295.04535,,297.80127
1950-01-12 00:00:00,295.83115,291.66443,293.47064,292.18976,,294.48108
1950-01-12 03:00:00,295.4122,291.36072,290.23468,290.03784,,290.2236
1950-01-12 06:00:00,294.9896,290.25754,288.76083,288.16995,,288.3976
1950-01-12 09:00:00,295.14316,291.4532,290.2951,290.74985,,292.3304
