time,Niaye,bassin_arachidien,casamance,senegal_oriental,vallee_fleuve_senegal,zone_sylvo_pastoral
1950-01-01 03:00:00,-5.752468,-0.9006481,-3.2702467,-1.4708669,,-0.14104658
1950-01-01 06:00:00,-5.931876,-1.6663189,-1.7512926,-1.4645133,,0.00395844
1950-01-01 09:00:00,-5.7747283,-1.6362976,-2.677609,-1.2161777,,-0.27037615
1950-01-01 12:00:00,-5.0390177,-1.0085713,-2.102682,0.06196349,,-0.14842992
1950-01-01 15:00:00,-3.977332,-0.2198851,-0.46840858,0.24832545,,0.22720738
1950-01-01 18:00:00,-3.6964178,-1.0255171,-1.868209,-0.88533324,,0.20615523
1950-01-01 21:00:00,-3.4732175,-1.1555701,-2.0581472,-1.4288119,,-0.6008422
1950-01-02 00:00:00,-4.8100395,-1.0311007,-3.0195808,-1.4339533,,-0.25353405
1950-01-02 03:00:00,-5.4407735,-1.5453842,-1.8237772,-1.6507922,,-0.009238253
1950-01-02 06:00:00,-5.4311996,-0.8988838,-2.8118815,-1.1172502,,0.11820317
1950-01-02 09:00:00,-5.2560773,-1.542899,-1.5762169,-0.9700091,,-0.21337247
1950-01-02 12:00:00,-4.409878,-0.9629328,-1.5123912,-0.09699765,,-0.25333536
1950-01-02 15:00:00,-3.2042077,-0.34960786,-0.344395,0.07319621,,-0.023977885
1950-01-02 18:00:00,-2.6406746,-0.97649616,-1.4507648,-0.9196715,,0.099964164
1950-01-02 21:00:00,-2.2231505,-1.3345795,-1.3580037,-1.7287822,,-0.6446336
1950-01-03 00:00:00,-3.603172,-1.4365803,-1.6851522,-1.155812,,-0.41959274
1950-01-03 03:00:00,-4.5939207,-1.0705618,-2.3004274,-1.7513118,,-0.018506497
1950-01-03 06:00:00,-4.752661,-0.97122425,-1.2985399,-1.5674391,,0.16895898
1950-01-03 09:00:00,-4.7453704,-0.8336797,-1.8300973,-1.1886618,,-0.24149263
1950-01-03 12:00:00,-4.2558165,-0.17525235,-0.77407163,-0.08071166,,-0.10820359
1950-01-03 15:00:00,-2.9662056,0.020695565,-0.4563303,-0.33495736,,-0.21342492
1950-01-03 18:00:00,-2.3750827,-1.069212,-2.280872,-1.454714,,-0.066893585
1950-01-03 21:00:00,-1.885775,-1.2744976,-2.5324278,-1.391061,,-0.67919666
1950-01-04 00:00:00,-2.5883298,-1.1182601,-2.0478954,-1.3769579,,-0.51344997
1950-01-04 03:00:00,-3.5137117,-1.1508673,-2.6513424,-1.7022839,,-0.6308079
1950-01-04 06:00:00,-4.2270007,-0.7282001,-1.8822991,-1.0967412,,-0.28251582
1950-01-04 09:00:00,-4.4727783,-1.2163448,-1.8080099,-1.6106966,,-0.27758792
1950-01-04 12:00:00,-3.5941846,-0.1859964,-0.9297085,-0.386497,,0.0033177435
1950-01-04 15:00:00,-1.707609,-0.49068594,-0.92145455,-0.66435015,,0.034972847
1950-01-04 18:00:00,-0.6731374,-1.514146,-2.4076972,-1.5041565,,0.16685049
1950-01-04 21:00:00,-0.12778066,-1.2212324,-1.6072221,-1.814348,,-0.56863624
1950-01-05 00:00:00,-1.2671195,-1.158499,-2.1486611,-2.0185926,,-0.5575068
1950-01-05 03:00:00,-2.6166131,-1.0385565,-2.4642317,-1.7480462,,-0.16308652
1950-01-05 06:00:00,-3.6074224,-0.7062458,-2.6006465,-1.6378081,,0.21619624
1950-01-05 09:00:00,-3.675389,-1.3667444,-2.232085,-1.5372595,,0.023447162
1950-01-05 12:00:00,-2.7780886,-0.3667161,-1.0063999,-0.8045345,,0.1359302
1950-01-05 15:00:00,-0.7943141,-0.5738449,-1.139184,-1.0263523,,0.088190734
1950-01-05 18:00:00,0.39404386,-1.4742674,-2.355224,-1.7056459,,0.23293005
1950-01-05 21:00:00,0.8008215,-1.1806138,-1.516016,-1.8468968,,-0.40559974
1950-01-06 00:00:00,-0.06677809,-1.0194519,-3.09777,-1.3251562,,-0.5355597
1950-01-06 03:00:00,-1.706794,-0.8998947,-2.645593,-1.77388,,-0.34910846
1950-01-06 06:00:00,-3.0065734,-0.8026695,-1.8851732,-1.5394092,,-0.13599752
1950-01-06 09:00:00,-3.6246586,-0.84579283,-1.9871293,-1.4863985,,-0.20109129
1950-01-06 12:00:00,-3.1046216,-0.22589853,-1.0499408,-0.7037895,,0.039448906
1950-01-06 15:00:00,-1.7186766,-0.5760876,-1.8084136,-0.86599386,,-0.035073806
1950-01-06 18:00:00,-1.7142416,-1.8880295,-3.4945614,-1.8315444,,-0.17830126
1950-01-06 21:00:00,-1.648557,-1.5338228,-1.9071777,-1.8866274,,-0.8026459
1950-01-07 00:00:00,-3.4440157,-2.5237572,-3.426047,-1.6373355,,-0.9191849
1950-01-07 03:00:00,-5.389724,-1.4526877,-1.6681465,-1.6915708,,-1.2912354
1950-01-07 06:00:00,-6.1579876,-0.6321591,-1.3791996,-1.2849901,,-1.2850606
1950-01-07 09:00:00,-6.1384525,-1.6825831,-2.4696743,-1.4715803,,-0.90267324
1950-01-07 12:00:00,-5.378969,-0.90061563,-1.3359206,-0.42738628,,-0.7531006
1950-01-07 15:00:00,-3.748748,-0.9941198,-1.1494188,-0.18814147,,-0.5402613
1950-01-07 18:00:00,-3.2032757,-1.6273911,-1.8756412,-0.8508984,,-0.31953284
