zone,year,hot_days,period
bassin_arachidien,1990,28,historical
bassin_arachidien,1991,20,historical
bassin_arachidien,1992,13,historical
bassin_arachidien,1993,30,historical
bassin_arachidien,1994,40,historical
bassin_arachidien,1995,28,historical
bassin_arachidien,1996,30,historical
bassin_arachidien,1997,23,historical
bassin_arachidien,1998,19,historical
bassin_arachidien,1999,29,historical
bassin_arachidien,2000,48,historical
bassin_arachidien,2001,58,historical
bassin_arachidien,2002,46,historical
bassin_arachidien,2003,58,historical
bassin_arachidien,2004,29,historical
bassin_arachidien,2005,42,historical
bassin_arachidien,2006,62,historical
bassin_arachidien,2007,27,historical
bassin_arachidien,2008,25,historical
bassin_arachidien,2009,53,historical
bassin_arachidien,2010,68,historical
bassin_arachidien,2011,21,historical
bassin_arachidien,2012,28,historical
bassin_arachidien,2013,51,historical
bassin_arachidien,2014,37,historical
bassin_arachidien,2015,0,historical
casamance,1990,29,historical
casamance,1991,25,historical
casamance,1992,9,historical
casamance,1993,20,historical
casamance,1994,44,historical
casamance,1995,19,historical
casamance,1996,27,historical
casamance,1997,19,historical
casamance,1998,22,historical
casamance,1999,26,historical
casamance,2000,48,historical
casamance,2001,54,historical
casamance,2002,45,historical
casamance,2003,43,historical
casamance,2004,25,historical
casamance,2005,57,historical
casamance,2006,74,historical
casamance,2007,29,historical
casamance,2008,30,historical
casamance,2009,71,historical
casamance,2010,70,historical
casamance,2011,26,historical
casamance,2012,33,historical
casamance,2013,39,historical
casamance,2014,30,historical
casamance,2015,0,historical
niaye,1990,10,historical
niaye,1991,20,historical
niaye,1992,14,historical
niaye,1993,11,historical
niaye,1994,35,historical
niaye,1995,20,historical
niaye,1996,67,historical
niaye,1997,17,historical
niaye,1998,45,historical
niaye,1999,38,historical
niaye,2000,74,historical
niaye,2001,34,historical
niaye,2002,37,historical
niaye,2003,25,historical
niaye,2004,21,historical
niaye,2005,40,historical
niaye,2006,50,historical
niaye,2007,23,historical
niaye,2008,50,historical
niaye,2009,77,historical
niaye,2010,70,historical
niaye,2011,40,historical
niaye,2012,28,historical
niaye,2013,49,historical
niaye,2014,19,historical
niaye,2015,0,historical
senegal_oriental,1990,27,historical
senegal_oriental,1991,24,historical
senegal_oriental,1992,8,historical
senegal_oriental,1993,22,historical
senegal_oriental,1994,30,historical
senegal_oriental,1995,14,historical
senegal_oriental,1996,25,historical
senegal_oriental,1997,36,historical
senegal_oriental,1998,27,historical
senegal_oriental,1999,24,historical
senegal_oriental,2000,48,historical
senegal_oriental,2001,44,historical
senegal_oriental,2002,28,historical
senegal_oriental,2003,38,historical
senegal_oriental,2004,39,historical
senegal_oriental,2005,47,historical
senegal_oriental,2006,69,historical
senegal_oriental,2007,21,historical
senegal_oriental,2008,41,historical
senegal_oriental,2009,61,historical
senegal_oriental,2010,72,historical
senegal_oriental,2011,37,historical
senegal_oriental,2012,46,historical
senegal_oriental,2013,47,historical
senegal_oriental,2014,39,historical
senegal_oriental,2015,0,historical
vallee_fleuve_senegal,1990,0,historical
vallee_fleuve_senegal,1991,0,historical
vallee_fleuve_senegal,1992,0,historical
vallee_fleuve_senegal,1993,0,historical
vallee_fleuve_senegal,1994,0,historical
vallee_fleuve_senegal,1995,0,historical
