zone,year,hot_days,threshold_90pct
bassin_arachidien,2040,48,36.61346000000003
bassin_arachidien,2041,71,36.61346000000003
bassin_arachidien,2042,90,36.61346000000003
bassin_arachidien,2043,120,36.61346000000003
bassin_arachidien,2044,139,36.61346000000003
bassin_arachidien,2045,126,36.61346000000003
bassin_arachidien,2046,115,36.61346000000003
bassin_arachidien,2047,107,36.61346000000003
bassin_arachidien,2048,142,36.61346000000003
bassin_arachidien,2049,71,36.61346000000003
bassin_arachidien,2050,98,36.61346000000003
bassin_arachidien,2051,133,36.61346000000003
bassin_arachidien,2052,123,36.61346000000003
bassin_arachidien,2053,149,36.61346000000003
bassin_arachidien,2054,116,36.61346000000003
bassin_arachidien,2055,135,36.61346000000003
bassin_arachidien,2056,152,36.61346000000003
bassin_arachidien,2057,174,36.61346000000003
bassin_arachidien,2058,132,36.61346000000003
bassin_arachidien,2059,170,36.61346000000003
bassin_arachidien,2060,150,36.61346000000003
bassin_arachidien,2061,133,36.61346000000003
bassin_arachidien,2062,139,36.61346000000003
bassin_arachidien,2063,205,36.61346000000003
bassin_arachidien,2064,221,36.61346000000003
bassin_arachidien,2065,166,36.61346000000003
bassin_arachidien,2066,220,36.61346000000003
bassin_arachidien,2067,197,36.61346000000003
bassin_arachidien,2068,227,36.61346000000003
bassin_arachidien,2069,188,36.61346000000003
casamance,2040,42,36.850863000000004
casamance,2041,79,36.850863000000004
casamance,2042,78,36.850863000000004
casamance,2043,103,36.850863000000004
casamance,2044,135,36.850863000000004
casamance,2045,108,36.850863000000004
casamance,2046,126,36.850863000000004
casamance,2047,102,36.850863000000004
casamance,2048,147,36.850863000000004
casamance,2049,67,36.850863000000004
casamance,2050,72,36.850863000000004
casamance,2051,136,36.850863000000004
casamance,2052,106,36.850863000000004
casamance,2053,154,36.850863000000004
casamance,2054,112,36.850863000000004
casamance,2055,119,36.850863000000004
casamance,2056,156,36.850863000000004
casamance,2057,141,36.850863000000004
casamance,2058,114,36.850863000000004
casamance,2059,163,36.850863000000004
casamance,2060,141,36.850863000000004
casamance,2061,122,36.850863000000004
casamance,2062,105,36.850863000000004
casamance,2063,168,36.850863000000004
casamance,2064,187,36.850863000000004
casamance,2065,137,36.850863000000004
casamance,2066,185,36.850863000000004
casamance,2067,160,36.850863000000004
casamance,2068,156,36.850863000000004
casamance,2069,143,36.850863000000004
niaye,2040,16,29.452160000000042
niaye,2041,76,29.452160000000042
niaye,2042,41,29.452160000000042
niaye,2043,78,29.452160000000042
niaye,2044,97,29.452160000000042
niaye,2045,91,29.452160000000042
niaye,2046,107,29.452160000000042
niaye,2047,118,29.452160000000042
niaye,2048,128,29.452160000000042
niaye,2049,43,29.452160000000042
niaye,2050,53,29.452160000000042
niaye,2051,93,29.452160000000042
niaye,2052,90,29.452160000000042
niaye,2053,71,29.452160000000042
niaye,2054,91,29.452160000000042
niaye,2055,97,29.452160000000042
niaye,2056,91,29.452160000000042
niaye,2057,106,29.452160000000042
niaye,2058,83,29.452160000000042
niaye,2059,54,29.452160000000042
niaye,2060,98,29.452160000000042
niaye,2061,101,29.452160000000042
niaye,2062,84,29.452160000000042
niaye,2063,66,29.452160000000042
niaye,2064,87,29.452160000000042
niaye,2065,56,29.452160000000042
niaye,2066,103,29.452160000000042
niaye,2067,104,29.452160000000042
niaye,2068,127,29.452160000000042
niaye,2069,74,29.452160000000042
senegal_oriental,2040,63,38.12663300000004
senegal_oriental,2041,79,38.12663300000004
senegal_oriental,2042,91,38.12663300000004
senegal_oriental,2043,109,38.12663300000004
senegal_oriental,2044,127,38.12663300000004
senegal_oriental,2045,101,38.12663300000004
senegal_oriental,2046,110,38.12663300000004
senegal_oriental,2047,103,38.12663300000004
senegal_oriental,2048,129,38.12663300000004
senegal_oriental,2049,82,38.12663300000004
senegal_oriental,2050,101,38.12663300000004
senegal_oriental,2051,139,38.12663300000004
senegal_oriental,2052,132,38.12663300000004
senegal_oriental,2053,148,38.12663300000004
