zone,year,hot_days,threshold_90pct
bassin_arachidien,1990,28,36.61346000000003
bassin_arachidien,1991,20,36.61346000000003
bassin_arachidien,1992,13,36.61346000000003
bassin_arachidien,1993,30,36.61346000000003
bassin_arachidien,1994,40,36.61346000000003
bassin_arachidien,1995,28,36.61346000000003
bassin_arachidien,1996,30,36.61346000000003
bassin_arachidien,1997,23,36.61346000000003
bassin_arachidien,1998,19,36.61346000000003
bassin_arachidien,1999,29,36.61346000000003
bassin_arachidien,2000,48,36.61346000000003
bassin_arachidien,2001,58,36.61346000000003
bassin_arachidien,2002,46,36.61346000000003
bassin_arachidien,2003,58,36.61346000000003
bassin_arachidien,2004,29,36.61346000000003
bassin_arachidien,2005,42,36.61346000000003
bassin_arachidien,2006,62,36.61346000000003
bassin_arachidien,2007,27,36.61346000000003
bassin_arachidien,2008,25,36.61346000000003
bassin_arachidien,2009,53,36.61346000000003
bassin_arachidien,2010,68,36.61346000000003
bassin_arachidien,2011,21,36.61346000000003
bassin_arachidien,2012,28,36.61346000000003
bassin_arachidien,2013,51,36.61346000000003
bassin_arachidien,2014,37,36.61346000000003
bassin_arachidien,2015,0,36.61346000000003
casamance,1990,29,36.850863000000004
casamance,1991,25,36.850863000000004
casamance,1992,9,36.850863000000004
casamance,1993,20,36.850863000000004
casamance,1994,44,36.850863000000004
casamance,1995,19,36.850863000000004
casamance,1996,27,36.850863000000004
casamance,1997,19,36.850863000000004
casamance,1998,22,36.850863000000004
casamance,1999,26,36.850863000000004
casamance,2000,48,36.850863000000004
casamance,2001,54,36.850863000000004
casamance,2002,45,36.850863000000004
casamance,2003,43,36.850863000000004
casamance,2004,25,36.850863000000004
casamance,2005,57,36.850863000000004
casamance,2006,74,36.850863000000004
casamance,2007,29,36.850863000000004
casamance,2008,30,36.850863000000004
casamance,2009,71,36.850863000000004
casamance,2010,70,36.850863000000004
casamance,2011,26,36.850863000000004
casamance,2012,33,36.850863000000004
casamance,2013,39,36.850863000000004
casamance,2014,30,36.850863000000004
casamance,2015,0,36.850863000000004
niaye,1990,10,29.452160000000042
niaye,1991,20,29.452160000000042
niaye,1992,14,29.452160000000042
niaye,1993,11,29.452160000000042
niaye,1994,35,29.452160000000042
niaye,1995,20,29.452160000000042
niaye,1996,67,29.452160000000042
niaye,1997,17,29.452160000000042
niaye,1998,45,29.452160000000042
niaye,1999,38,29.452160000000042
niaye,2000,74,29.452160000000042
niaye,2001,34,29.452160000000042
niaye,2002,37,29.452160000000042
niaye,2003,25,29.452160000000042
niaye,2004,21,29.452160000000042
niaye,2005,40,29.452160000000042
niaye,2006,50,29.452160000000042
niaye,2007,23,29.452160000000042
niaye,2008,50,29.452160000000042
niaye,2009,77,29.452160000000042
niaye,2010,70,29.452160000000042
niaye,2011,40,29.452160000000042
niaye,2012,28,29.452160000000042
niaye,2013,49,29.452160000000042
niaye,2014,19,29.452160000000042
niaye,2015,0,29.452160000000042
senegal_oriental,1990,27,38.12663300000004
senegal_oriental,1991,24,38.12663300000004
senegal_oriental,1992,8,38.12663300000004
senegal_oriental,1993,22,38.12663300000004
senegal_oriental,1994,30,38.12663300000004
senegal_oriental,1995,14,38.12663300000004
senegal_oriental,1996,25,38.12663300000004
senegal_oriental,1997,36,38.12663300000004
senegal_oriental,1998,27,38.12663300000004
senegal_oriental,1999,24,38.12663300000004
senegal_oriental,2000,48,38.12663300000004
senegal_oriental,2001,44,38.12663300000004
senegal_oriental,2002,28,38.12663300000004
senegal_oriental,2003,38,38.12663300000004
senegal_oriental,2004,39,38.12663300000004
senegal_oriental,2005,47,38.12663300000004
senegal_oriental,2006,69,38.12663300000004
senegal_oriental,2007,21,38.12663300000004
senegal_oriental,2008,41,38.12663300000004
senegal_oriental,2009,61,38.12663300000004
senegal_oriental,2010,72,38.12663300000004
senegal_oriental,2011,37,38.12663300000004
senegal_oriental,2012,46,38.12663300000004
senegal_oriental,2013,47,38.12663300000004
senegal_oriental,2014,39,38.12663300000004
senegal_oriental,2015,0,38.12663300000004
vallee_fleuve_senegal,1990,0,
vallee_fleuve_senegal,1991,0,
vallee_fleuve_senegal,1992,0,
vallee_fleuve_senegal,1993,0,
vallee_fleuve_senegal,1994,0,
vallee_fleuve_senegal,1995,0,
vallee_fleuve_senegal,1996,0,
vallee_fleuve_senegal,1997,0,
vallee_fleuve_senegal,1998,0,
vallee_fleuve_senegal,1999,0,
vallee_fleuve_senegal,2000,0,
vallee_fleuve_senegal,2001,0,
vallee_fleuve_senegal,2002,0,
vallee_fleuve_senegal,2003,0,
vallee_fleuve_senegal,2004,0,
vallee_fleuve_senegal,2005,0,
vallee_fleuve_senegal,2006,0,
vallee_fleuve_senegal,2007,0,
vallee_fleuve_senegal,2008,0,
vallee_fleuve_senegal,2009,0,
vallee_fleuve_senegal,2010,0,
vallee_fleuve_senegal,2011,0,
vallee_fleuve_senegal,2012,0,
vallee_fleuve_senegal,2013,0,
vallee_fleuve_senegal,2014,0,
vallee_fleuve_senegal,2015,0,
zone_sylvo_pastoral,1990,25,34.693350000000045
zone_sylvo_pastoral,1991,20,34.693350000000045
zone_sylvo_pastoral,1992,7,34.693350000000045
zone_sylvo_pastoral,1993,16,34.693350000000045
zone_sylvo_pastoral,1994,35,34.693350000000045
zone_sylvo_pastoral,1995,33,34.693350000000045
zone_sylvo_pastoral,1996,29,34.693350000000045
zone_sylvo_pastoral,1997,32,34.693350000000045
zone_sylvo_pastoral,1998,13,34.693350000000045
zone_sylvo_pastoral,1999,47,34.693350000000045
zone_sylvo_pastoral,2000,44,34.693350000000045
zone_sylvo_pastoral,2001,56,34.693350000000045
zone_sylvo_pastoral,2002,36,34.693350000000045
zone_sylvo_pastoral,2003,47,34.693350000000045
zone_sylvo_pastoral,2004,29,34.693350000000045
zone_sylvo_pastoral,2005,40,34.693350000000045
zone_sylvo_pastoral,2006,59,34.693350000000045
zone_sylvo_pastoral,2007,18,34.693350000000045
zone_sylvo_pastoral,2008,27,34.693350000000045
zone_sylvo_pastoral,2009,65,34.693350000000045
zone_sylvo_pastoral,2010,67,34.693350000000045
zone_sylvo_pastoral,2011,34,34.693350000000045
zone_sylvo_pastoral,2012,41,34.693350000000045
zone_sylvo_pastoral,2013,45,34.693350000000045
zone_sylvo_pastoral,2014,49,34.693350000000045
zone_sylvo_pastoral,2015,0,34.693350000000045
