Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Hourly);BUREAU:Zone Operative Temperature [C](Hourly);BUREAU IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly);BUREAU:Zone Heat Index [C](Hourly) 
 01/01  01:00:00;23.849999999999998;26.160392032799226;0.0;0.0 
 01/01  02:00:00;24.458333333333332;26.446625816599788;0.0;0.0 
 01/01  03:00:00;23.416666666666668;25.818490272213893;0.0;0.0 
 01/01  04:00:00;23.0;25.459748670863245;0.0;0.0 
 01/01  05:00:00;21.833333333333332;24.737308020417583;0.0;0.0 
 01/01  06:00:00;22.166666666666668;24.699237609821534;0.0;0.0 
 01/01  07:00:00;22.883333333333336;24.987517084331085;0.0;0.0 
 01/01  08:00:00;22.741666666666664;24.85022023016256;0.0;0.0 
 01/01  09:00:00;22.583333333333332;24.803303122341585;0.0;0.0 
 01/01  10:00:00;23.958333333333332;25.652600127802007;0.0;0.0 
 01/01  11:00:00;26.75;26.99077982345285;11623259.004773937;0.0 
 01/01  12:00:00;29.691666666666666;27.45528543780047;48588896.60312857;0.0 
 01/01  13:00:00;31.366666666666664;27.863039877085516;70286330.29868425;0.0 
 01/01  14:00:00;32.225;28.238790222352037;81696885.09865865;0.0 
 01/01  15:00:00;33.06666666666667;28.571069050488763;92750603.1112449;0.0 
 01/01  16:00:00;33.75;28.825833507032595;101927608.51741362;0.0 
 01/01  17:00:00;33.35833333333334;28.923856570922243;97458854.90911485;0.0 
 01/01  18:00:00;32.25833333333333;28.835474405298125;83571267.59856991;0.0 
 01/01  19:00:00;29.583333333333332;28.616771190270104;49973156.68940055;0.0 
 01/01  20:00:00;26.833333333333332;28.390233528577152;14800283.908550756;0.0 
 01/01  21:00:00;24.775000000000002;27.741054728231415;0.0;0.0 
 01/01  22:00:00;23.375;26.799776720108607;0.0;0.0 
 01/01  23:00:00;23.0;26.375914730270193;0.0;0.0 
 01/01  24:00:00;22.475000000000005;25.920611349927427;0.0;0.0 
 01/02  01:00:00;21.925;25.436268830109622;0.0;0.0 
 01/02  02:00:00;21.566666666666666;25.0611239013088;0.0;0.0 
 01/02  03:00:00;21.224999999999998;24.696015981826474;0.0;0.0 
 01/02  04:00:00;20.75;24.268262062668935;0.0;0.0 
 01/02  05:00:00;20.208333333333332;23.79977140388959;0.0;0.0 
 01/02  06:00:00;18.891666666666666;22.9419273959117;0.0;0.0 
 01/02  07:00:00;17.458333333333332;25.907458467011196;40954.33260766623;0.0 
 01/02  08:00:00;17.583333333333332;26.358420129590687;137568.97290980088;0.0 
 01/02  09:00:00;19.575;26.495965063967606;283513.2743317241;0.0 
 01/02  10:00:00;23.791666666666668;26.77126749478988;717113.8497515876;0.0 
 01/02  11:00:00;27.75;27.14559610946618;1272458.497480226;0.0 
 01/02  12:00:00;30.108333333333334;27.538626570142927;2021140.3430632595;0.0 
 01/02  13:00:00;31.599999999999998;27.937836227602997;2951966.2892412543;0.0 
 01/02  14:00:00;32.741666666666674;28.32786940989354;3966093.240768644;0.0 
 01/02  15:00:00;33.9;28.67860929874234;4927487.641820543;0.0 
 01/02  16:00:00;34.166666666666664;28.935243971091268;5644896.467017095;0.0 
 01/02  17:00:00;34.0;29.031761706780248;5910507.354565488;0.0 
 01/02  18:00:00;33.300000000000004;28.946731457437036;5666067.533879261;0.0 
 01/02  19:00:00;30.991666666666664;28.728025033843128;5053485.630736375;0.0 
 01/02  20:00:00;27.949999999999992;28.493219960595127;4389328.728172976;0.0 
 01/02  21:00:00;24.891666666666666;28.280515891850953;3810897.7356928615;0.0 
 01/02  22:00:00;23.25;28.10004680011437;3328075.7067313194;0.0 
 01/02  23:00:00;22.416666666666668;26.255558956506515;0.0;0.0 
 01/02  24:00:00;21.88333333333334;25.69680122274852;0.0;0.0 
 01/03  01:00:00;21.741666666666664;25.401005788212743;0.0;0.0 
 01/03  02:00:00;21.700000000000003;25.184502477084976;0.0;0.0 
 01/03  03:00:00;21.641666666666666;24.97937465373931;0.0;0.0 
 01/03  04:00:00;21.25;24.612278585354318;0.0;0.0 
 01/03  05:00:00;21.0;24.299310947080738;0.0;0.0 
 01/03  06:00:00;19.600000000000005;23.421264436745005;0.0;0.0 
 01/03  07:00:00;17.666666666666668;26.070801571826166;154127.16217845425;0.0 
 01/03  08:00:00;16.416666666666668;26.422103580612998;219967.01056895184;0.0 
 01/03  09:00:00;18.333333333333332;26.536800999942233;332444.3639120414;0.0 
 01/03  10:00:00;22.333333333333332;26.798385789263985;746931.1586819695;0.0 
 01/03  11:00:00;26.916666666666668;27.16990473688641;1299657.192578724;0.0 
 01/03  12:00:00;29.7;27.575423877338086;2066914.7216901896;0.0 
 01/03  13:00:00;30.958333333333332;27.97835382342687;3014567.5339894025;0.0 
 01/03  14:00:00;32.20000000000001;28.37672740397791;4058423.7226406587;0.0 
 01/03  15:00:00;33.458333333333336;28.736243885425555;5048737.687028444;0.0 
 01/03  16:00:00;34.0;28.99736784112491;5779876.654525589;0.0 
 01/03  17:00:00;33.416666666666664;29.08244328468852;6027386.900962041;0.0 
 01/03  18:00:00;32.416666666666664;28.980127391517726;5747422.908654227;0.0 
 01/03  19:00:00;30.25;28.752995705229626;5110511.124703742;0.0 
 01/03  20:00:00;27.833333333333332;28.516416179052186;4428357.738348369;0.0 
 01/03  21:00:00;25.833333333333332;28.30765531902037;3836869.162166196;0.0 
 01/03  22:00:00;23.833333333333332;28.114468515623003;3327331.887106224;0.0 
 01/03  23:00:00;23.0;26.541445127377912;0.0;0.0 
 01/03  24:00:00;22.125;25.84071274782805;0.0;0.0 
 01/04  01:00:00;21.208333333333332;25.109617673071607;0.0;0.0 
 01/04  02:00:00;20.708333333333332;24.612260825490367;0.0;0.0 
 01/04  03:00:00;20.208333333333332;24.128499893003607;0.0;0.0 
